antibiotic_id,organism_id,resistance_pct,n_isolates
CEFX,MORMOR,28.6,91
CEFX,PROMIR,2.4,330
CEFX,SERMAR,10.0,221
CEFX,STAEPI,87.8,361
CEFX,STAPHAUR,6.5,260
CEFX,STRPNE,0.0,63
CFOX,STAEPI,68.9,103
CIPR,ACIBAU,19.4,103
CIPR,CITFRE,7.2,97
CIPR,ECOLI,15.4,1755
CIPR,ENTCLO,4.3,444
CIPR,ENTFAE,14.5,442
CIPR,KLEBPN,12.3,722
CIPR,KLEOXY,2.1,382
CIPR,MORMOR,9.4,117
CIPR,PROMIR,12.9,411
CIPR,PSEAER,12.6,777
CIPR,SERMAR,3.7,270
CIPR,STAEPI,54.6,306
CIPR,STAPHAUR,10.3,330
CLAR,STAEPI,72.1,319
CLAR,STAPHAUR,22.0,191
CLIN,STAEPI,52.6,951
CLIN,STAPHAUR,18.8,945
CLIN,STRPNE,5.8,86
COTR,ACIBAU,15.2,79
COTR,CITFRE,3.3,90
COTR,ECOLI,21.6,1757
COTR,ENTCLO,4.2,430
COTR,KLEBPN,10.4,709
COTR,KLEOXY,1.6,375
COTR,MORMOR,14.8,115
COTR,PROMIR,27.5,411
COTR,SERMAR,0.7,270
COTR,STAEPI,20.0,948
COTR,STAPHAUR,1.9,945
COTR,STEMAL,0.6,154
COTR,STRPNE,14.5,55
DAPT,STAEPI,0.6,649
DAPT,STAPHAUR,0.2,484
DOXY,STAEPI,35.0,123
DOXY,STAPHAUR,6.0,150
ERTA,ECOLI,0.4,820
ERTA,ENTCLO,14.6,219
ERTA,KLEBPN,2.8,396
ERTA,KLEOXY,0.0,199
ERTA,MORMOR,5.3,57
ERTA,PROMIR,0.0,197
ERTA,SERMAR,2.3,172
ERYT,STAEPI,65.4,956
ERYT,STAPHAUR,20.4,950
ERYT,STRPNE,8.1,86
FLUX,STAEPI,66.9,350
FLUX,STAPHAUR,8.0,511
FOSF,ECOLI,0.8,988
FOSF,ENTCLO,51.4,214
FOSF,KLEBPN,21.6,328
FOSF,KLEOXY,23.6,165
FOSF,MORMOR,94.9,59
FOSF,PROMIR,13.6,235
FOSF,SERMAR,7.2,83
FOSF,STAEPI,24.9,854
FOSF,STAPHAUR,2.5,771
FUSI,STAEPI,37.8,556
FUSI,STAPHAUR,2.1,564
GENT,ACIBAU,10.3,68
GENT,CITFRE,0.0,60
GENT,ECOLI,4.6,956
GENT,ENTCLO,1.7,347
GENT,ENTFAE,11.1,126
GENT,KLEBPN,5.4,481
GENT,KLEOXY,0.7,284
GENT,MORMOR,0.0,66
GENT,PROMIR,6.5,216
GENT,SERMAR,1.4,217
GENT,STAEPI,40.9,889
GENT,STAPHAUR,2.0,909
IMIP,ACIBAU,16.9,89
IMIP,CITFRE,2.9,70
IMIP,ECOLI,0.1,876
IMIP,ENTCLO,0.6,342
IMIP,ENTFAE,0.8,482
IMIP,ENTFAI,96.8,93
IMIP,KLEBPN,2.7,481
IMIP,KLEOXY,0.0,290
IMIP,MORMOR,6.7,60
IMIP,PROMIR,0.0,147
IMIP,PSEAER,23.3,682
IMIP,SERMAR,0.9,224
IMIP,STAEPI,72.2,691
IMIP,STAPHAUR,6.2,674
LEVO,ECOLI,11.6,467
LEVO,ENTCLO,3.4,149
LEVO,ENTFAE,27.0,185
LEVO,KLEBPN,13.2,189
LEVO,KLEOXY,2.8,141
LEVO,PROMIR,9.3,107
LEVO,PSEAER,14.5,275
LEVO,SERMAR,2.2,91
LEVO,STAEPI,51.3,946
LEVO,STAPHAUR,8.1,943
LEVO,STRPNE,0.0,81
LNZD,ENTFAE,0.6,634
LNZD,ENTFAI,2.0,102
LNZD,STAEPI,0.1,948
LNZD,STAPHAUR,0.0,942
LNZD,STRPNE,0.0,71
MECI,ECOLI,7.3,786
MERO,ACIBAU,14.6,103
MERO,CITFRE,2.1,97
MERO,ECOLI,0.1,1771
MERO,ENTCLO,0.0,444
MERO,KLEBPN,1.8,730
MERO,KLEOXY,0.0,383
MERO,MORMOR,0.0,117
MERO,PROMIR,0.0,411
MERO,PSEAER,11.7,779
MERO,SERMAR,0.7,273
MERO,STAEPI,59.4,212
MERO,STAPHAUR,11.9,135
MOXI,ECOLI,19.1,383
MOXI,KLEBPN,17.6,91
MOXI,STAEPI,47.3,239
MOXI,STAPHAUR,7.1,294
MOXI,STRPNE,0.0,72
NITR,ECOLI,0.6,939
NITR,ENTFAE,0.4,459
NITR,STAPHAUR,98.0,50
OXA,STAEPI,70.0,706
OXA,STAPHAUR,9.5,536
PENG,STAPHAUR,65.3,943
PENG,STRPNE,4.8,83
PIPE,CITFRE,38.2,76
PIPE,ECOLI,45.7,1319
PIPE,ENTCLO,59.7,380
PIPE,MORMOR,40.3,67
PIPE,PROMIR,21.3,315
PIPE,PSEAER,28.1,697
PIPE,SERMAR,9.7,227
PIPT,CITFRE,26.7,90
PIPT,ECOLI,8.8,1745
PIPT,ENTCLO,30.4,428
PIPT,KLEBPN,18.8,697
PIPT,KLEOXY,14.1,375
PIPT,MORMOR,13.2,114
PIPT,PROMIR,0.2,407
PIPT,PSEAER,19.7,661
PIPT,SERMAR,5.9,269
PIPT,STAEPI,66.5,218
PIPT,STAPHAUR,12.4,145
RIFP,STAEPI,14.2,944
RIFP,STAPHAUR,2.8,943
TEIC,ENTFAE,0.4,512
TEIC,ENTFAI,4.8,83
TEIC,STAEPI,27.5,777
TEIC,STAPHAUR,0.1,703
TET,STAEPI,37.7,839
TET,STAPHAUR,3.5,817
TET,STRPNE,4.8,63
TIGE,ECOLI,0.4,817
TIGE,ENTFAE,0.0,555
TIGE,ENTFAI,0.0,101
TIGE,STAEPI,0.1,881
TIGE,STAPHAUR,0.0,885
TOBR,ECOLI,7.7,220
TOBR,KLEBPN,11.7,77
TOBR,PSEAER,3.5,403
TOBR,STAEPI,87.9,206
TOBR,STAPHAUR,8.3,60
TRIM,ECOLI,26.2,676
TRIM,ENTCLO,4.5,67
TRIM,KLEBPN,17.0,176
TRIM,KLEOXY,3.4,58
TRIM,PROMIR,39.1,161
VANC,ENTFAE,0.3,635
VANC,ENTFAI,16.7,102
VANC,STAEPI,0.0,935
VANC,STAPHAUR,0.0,811
VANC,STRPNE,0.0,81
